игра,вопрос,ответ
Дюна: Империя,что такое карты интриг?,"Эти карты представляют специальные операции, тайные договорённости и неожиданные повороты. В игре они помогут вам получать ресурсы, увеличивать влияние во фракциях или даже получать ПО. На каждой карте интриги указано, в какой фазе её можно разыграть, какие у неё условия розыгрыша и эффект."
Дюна: Империя,считается ли дредноут боевой силой?,"Дредноуты. Правила базовой игры требуют, чтобы у вас
был размещён хотя бы 1 отряд в зоне конфликта, чтобы
вы могли играть карты сражения и получать боевую силу
с символов мечей. Если в зоне конфликта у вас есть хотя бы
1 дредноут, считается, что эти условия соблюдены, даже если отрядов у вас там нет. Однако если ваши дредноуты находятся не в зоне конфликта, а в гарнизоне и/или в ячейке, эти условия не выполняются."
Дюна: Империя,дом хагаль может помещать жетон контроля?,"Поскольку Дом Хагаль не получает награды за участие в сражении, он не помещает свой жетон контроля на поле. Однако, если он побеждает в сражении за ячейку, которую контролирует игрок, жетон контроля этого игрока убирается."
Дюна: Империя,я могу несколько раз отправится в высший совет?,"Высший Совет
Символ агента: Ландсраад Стоимость: 5 соляриев
Вы можете отправить агента в эту ячейку только один раз за игру. Сделав это, положите свою фишку советника на незанятое место справа от ячейки Совета. До конца игры во время раскрытия карт вы получаете 2 очка убеждения."
Взрывные котята,что делает карта «Подсмуртри грядущее»?,"Посмотри 3 верхние карты колоды, не показывая их другим игрокам, и верни их назад в том же порядке."
Взрывные котята,"что будет, если я возьму взрывного котенка?","Немедленно покажи эту карту. Если у тебя нет «Обезвредь»-карты, ты взорвался. Все твои карты и «Взрывной котёнок», на котором ты подорвался, отправляются в сброс."
Трамвай смерти,куда я могу положить карту секретов,"Если у вас в руке
есть карты секретов,
выберите одну
и положите её на любого
персонажа на любом пути — хоть на своём, хоть на пути соперников. Остальные карты секретов уберите в коробку."
Трамвай смерти,кто побеждает в игре?,"Посчитайте, сколько жетонов смерти у каждого игрока. Выигрывает тот, кто набрал меньше всех!"
Игра престолов,что делать если закончились жетоны,"Число отрядов, жетонов и карт в распоряжении каждого Дома строго ограничено. Если у игрока закончатся компоненты определённого типа, он
не может вводить в игру такие компоненты, пока они не вернутся к нему в запас. Например, фишки уничтоженных в боях отрядов можно снова выводить на поле при следующих сборах войск."
Игра престолов,можно ли использовать эссос если таргариены не играют?,"Поле Эссоса используется, толь- ко если один из участников играет за дом Таргариенов. Если никто
не выбрал Таргариенов в качестве игрового дома, уберите поле Эссоса, а также все компоненты Таргариенов и Железного банка в коробку."
